X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,NMCNTY,STUTERATIO,TITLEI,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-16626432.9157,8771252.3797,1,020051000480,2018-2019,AK,0200510,AK-33,Matanuska-Susitna Borough School District,John Shaw Elementary,3750 E Paradise Ln,?,Wasilla,AK,99654,    ,(907)352-0500,PK,05,Not Virtual,205,178,27,14,95,80,70,87,64,58,?,?,?,?,?,?,?,?,468,468,56,12,4,367,4,22,25.1000003814697,61.62714,-149.357863,41-Rural: Fringe,Matanuska-Susitna Borough,18.6,1-Yes,1-Yes,34,22,1,2,6,6,2,2,199,168,2,2,11,11,255,213,1,?,?,Regular school,Currently operational ,Elementary,3,No,No
-17449798.9956,11505802.9799,2,020061000470,2018-2019,AK,0200610,AK-36,North Slope Borough School District,Kiita Learning Community,5246 Karluk St,?,Utqiagvik,AK,99723,    ,(907)852-9677,09,12,Not Virtual,16,14,2,?,?,?,?,?,?,?,?,?,?,0,2,10,29,?,41,41,35,1,0,2,1,2,3.70000004768372,71.300337,-156.754238,33-Town: Remote,North Slope Borough,11.1,1-Yes,1-Yes,23,12,0,0,1,0,0,0,0,2,1,0,0,2,25,16,1,?,?,Alternative/other school,Currently operational ,High,0,No,No
-16817056.6727,8509991.0374,3,020039000448,2018-2019,AK,0200390,AK-24,Kenai Peninsula Borough School District,Soldotna Montessori Charter School,158 E Park Ave,?,Soldotna,AK,99669,    ,(907)260-9221,KG,06,Not Virtual,45,25,20,?,21,23,23,25,22,24,25,?,?,?,?,?,?,?,163,163,8,5,0,137,0,10,10.3500003814697,60.491445,-151.070167,33-Town: Remote,Kenai Peninsula Borough,15.7,Not Applicable,Not Applicable,4,4,0,3,1,4,0,0,58,79,0,0,4,6,67,96,1,?,?,Regular school,Currently operational ,Elementary,3,Yes,No
-16840313.9125,8527364.8146,4,020039000463,2018-2019,AK,0200390,AK-24,Kenai Peninsula Borough School District,Kaleidoscope School of Arts & Science,549 N Forest Dr,?,Kenai,AK,99611,    ,(907)283-0804,KG,05,Not Virtual,81,58,23,?,40,44,44,42,43,45,?,?,?,?,?,?,?,?,258,258,17,16,3,169,0,50,16.25,60.568277,-151.279143,33-Town: Remote,Kenai Peninsula Borough,15.9,Not Applicable,Not Applicable,12,5,2,1,8,8,3,0,73,96,0,0,23,27,121,137,1,?,?,Regular school,Currently operational ,Elementary,3,Yes,No
-16835102.6058,8527088.2794,5,020039000513,2018-2019,AK,0200390,AK-24,Kenai Peninsula Borough School District,Marathon School,405 Marathon Rd,?,Kenai,AK,99611,    ,(907)335-3343,07,12,Not Virtual,3,-1,-1,?,?,?,?,?,?,?,?,1,1,0,2,2,3,?,9,9,1,0,0,7,0,1,1,60.567003,-151.232337,33-Town: Remote,Kenai Peninsula Borough,9,1-Yes,2-No,1,0,0,0,0,0,0,0,6,1,0,0,0,1,7,2,1,?,?,Alternative/other school,Currently operational ,High,0,No,No
-14819821.6704,7582206.3998,6,020070000526,2018-2019,AK,0200700,AK-44,Southeast Island School District,Whale Pass School,126 Bayview Rd,?,Whale Pass,AK,99950,    ,(907)846-5320,PK,12,Supplemental Virtual,17,17,0,1,1,0,3,1,2,1,2,1,5,1,0,0,0,?,18,18,0,1,0,17,0,0,2.04999995231628,56.119178,-133.12875,43-Rural: Remote,Prince of Wales-Hyder Census Area,8.8,1-Yes,1-Yes,0,0,0,0,1,0,0,0,10,7,0,0,0,0,11,7,1,?,?,Regular school,Currently operational ,Other,0,No,No
-14981888.5536,7862527.9987,7,020073000477,2018-2019,AK,0200730,AK-09,Chatham School District,Chatham Correspondence,500 Big Dog Salmon Way,?,Angoon,AK,99820,    ,(907)788-3302,KG,12,Not Virtual,-9,-9,-9,?,0,1,2,1,0,0,0,0,0,0,1,1,1,?,7,7,0,0,6,1,0,0,0,57.497734,-134.584631,43-Rural: Remote,Hoonah-Angoon Census Area,?,Not Applicable,Not Applicable,0,0,0,0,0,0,3,3,1,0,0,0,0,0,4,3,1,?,?,Regular school,Currently operational ,Other,0,No,No
-16588160.0464,9317706.8224,8,020077000447,2018-2019,AK,0200770,AK-02,Denali Borough School District,Denali PEAK,1 Suntrana St,?,Healy,AK,99743,    ,(907)683-2278,PK,12,Virtual with face to face options,3,-1,-1,44,41,53,45,61,56,60,63,52,67,62,57,49,48,?,758,758,48,91,34,470,8,77,6.65000009536743,63.873423,-149.014066,43-Rural: Remote,Denali Borough,114,Not Applicable,Not Applicable,25,23,16,14,40,51,18,16,245,225,3,5,33,44,380,378,1,?,?,Regular school,Currently operational ,Other,30,No,No
-18453685.5559,7195743.911,9,020000700004,2018-2019,AK,0200007,AK-56,Aleutians East Borough School District,Akutan School,202 Volcano Dr,?,Akutan,AK,99553,    ,(907)698-2205,PK,12,Not Virtual,3,-1,-1,1,0,4,0,4,1,1,2,4,1,0,0,1,0,?,19,19,13,0,0,3,0,1,2,54.134961,-165.77227,43-Rural: Remote,Aleutians East Borough,9.5,1-Yes,1-Yes,7,6,1,1,0,0,0,0,2,1,0,0,1,0,11,8,1,?,?,Regular school,Currently operational ,Other,2,No,No
-18191652.6285,7333405.6099,10,020000700007,2018-2019,AK,0200007,AK-56,Aleutians East Borough School District,False Pass School,300 Valley Rd,?,False Pass,AK,99583,    ,(907)548-2224,PK,12,Not Virtual,-9,-9,-9,1,1,0,0,1,1,0,2,0,1,0,1,0,0,?,8,8,6,0,0,2,0,0,2,54.853163,-163.418383,43-Rural: Remote,Aleutians East Borough,4,1-Yes,1-Yes,3,3,0,0,0,0,0,0,1,1,0,0,0,0,4,4,1,?,?,Regular school,Currently operational ,Other,0,No,No
