@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,61,48,4,47,43,44,6,46,29,45,10,17,36,1,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F1'

@attribute BL numeric
@attribute AS numeric
@attribute BLALF numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute BLALM numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute TOTFRL numeric
@attribute G03 numeric
@attribute LONCOD numeric
@attribute ﻿X numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
4,3,2,AK,2,1,2,99654,6,12,6,205,87,-149.357863,-16626432.9157,Rural
0,0,0,AK,0,0,0,99559,0,0,0,114,6,-162.276467,-18064536.1519,Rural
0,0,0,AK,0,0,0,99614,0,0,0,207,10,-164.038046,-18260629.4029,Rural
0,0,0,AK,0,0,0,99641,0,0,0,199,14,-162.456382,-18084552.4617,Rural
0,0,0,AK,0,0,0,99578,0,0,0,101,7,-162.025873,-18036638.3352,Rural
2,2,0,AK,2,2,0,99559,1,2,1,257,0,-161.772468,-18008421.1815,Rural
0,0,0,AK,0,0,0,99655,0,0,0,222,20,-161.897479,-18022336.1179,Rural
1,1,1,AK,0,1,0,99551,0,0,0,205,21,-161.44806,-17972308.9322,Rural
0,0,0,AK,0,0,0,99557,0,0,0,27,1,-159.249298,-17727540.5816,Rural
0,0,0,AK,0,0,0,99557,0,0,0,13,1,-156.588355,-17431338.604,Rural
0,2,0,AK,0,1,1,99633,0,0,0,50,0,-157.004582,-17477669.6347,Rural
0,0,0,AK,0,0,0,99555,0,1,1,14,4,-158.626406,-17658210.4983,Rural
0,0,0,AK,0,0,0,99636,0,0,0,132,13,-157.311933,-17511879.4514,Rural
0,3,0,AK,0,1,2,99827,4,7,3,100,17,-135.453573,-15078613.6678,Rural
0,0,0,AK,0,0,0,99682,1,3,2,31,1,-151.143478,-16825216.7501,Rural
0,1,0,AK,0,0,1,99631,1,2,1,4,2,-149.367748,-16627533.6089,Rural
1,5,0,AK,1,3,2,99664,7,14,7,123,50,-149.435911,-16635129.751,Rural
0,0,0,AK,0,0,0,99603,2,3,1,36,16,-151.56784,-16872451.4364,Rural
2,4,2,AK,0,2,2,99669,5,11,6,146,68,-151.141121,-16824951.7684,Rural
1,3,0,AK,1,2,1,99611,17,35,18,280,74,-151.176817,-16828926.4939,Rural
0,0,0,AK,0,0,0,99950,0,0,0,23,1,-133.202839,-14828070.0751,Rural
0,0,0,AK,0,0,0,99613,0,0,0,19,2,-155.903355,-17355085.0246,Rural
0,0,0,AK,0,0,0,99648,0,0,0,29,1,-159.143534,-17715772.6764,Rural
0,0,0,AK,0,0,0,99625,0,0,0,20,2,-156.857425,-17461288.3303,Rural
0,0,0,AK,0,0,0,99778,0,0,0,43,4,-166.366659,-18519842.6532,Rural
0,0,0,AK,0,0,0,99739,0,0,0,16,7,-162.264729,-18063224.8322,Rural
1,0,0,AK,1,0,0,99671,0,0,0,152,20,-162.287615,-18065772.7332,Rural
0,0,0,AK,0,0,0,99721,0,0,0,85,7,-151.738503,-16891455.3802,Rural
1,1,0,AK,1,0,1,99766,0,0,0,167,12,-166.736003,-18560969.1716,Rural
0,0,0,AK,0,0,0,99727,0,0,0,192,16,-161.124947,-17936339.3653,Rural
0,0,0,AK,0,0,0,99750,0,0,0,153,11,-164.53502,-18315942.6337,Rural
0,0,0,AK,0,0,0,99770,0,0,0,265,25,-160.01188,-17812443.4354,Rural
0,0,0,AK,0,0,0,99922,0,0,0,83,8,-132.82617,-14786135.0227,Rural
0,1,0,AK,0,1,0,99918,0,0,0,7,1,-132.828532,-14786400.0044,Rural
0,0,0,AK,0,0,0,99919,0,0,0,3,0,-132.524451,-14752557.0855,Rural
0,0,0,AK,0,0,0,99820,0,0,0,33,5,-134.584631,-14981888.5536,Rural
0,35,0,AK,0,15,20,99574,5,9,4,138,17,-145.756038,-16225481.6346,Rural
2,5,0,AK,2,2,3,99686,2,4,2,57,0,-146.357754,-16292467.649,Rural
0,0,0,AK,0,0,0,99585,0,0,0,120,11,-162.080382,-18042705.7366,Rural
0,1,0,AK,0,1,0,99650,0,0,0,182,19,-162.892124,-18133064.4957,Rural
0,0,0,AK,0,0,0,99563,0,0,0,329,38,-165.585439,-18432881.0954,Rural
4,9,1,AK,3,2,7,99833,1,5,4,68,0,-132.955668,-14800559.5393,Rural
1,2,0,AK,1,1,1,99741,0,1,1,172,0,-156.954394,-17472084.6359,Rural
0,0,0,AK,0,0,0,99788,0,0,0,14,0,-143.727861,-15999703.639,Rural
0,0,0,AK,0,0,0,99740,0,0,0,3,0,-145.252118,-16169387.0474,Rural
