@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,61,48,4,47,43,44,6,46,29,45,10,17,36,1,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N4-F1'

@attribute BL numeric
@attribute AS numeric
@attribute BLALF numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute BLALM numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute TOTFRL numeric
@attribute G03 numeric
@attribute LONCOD numeric
@attribute ﻿X numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
0,0,0,AK,0,0,0,99950,0,1,1,17,1,-133.12875,-14819821.6704,Rural
1,4,1,AK,0,2,2,99559,1,5,4,299,84,-161.770708,-18008230.9383,Rural
0,0,0,AK,0,0,0,99559,0,0,0,166,13,-162.887161,-18132507.3547,Rural
1,0,1,AK,0,0,0,99651,0,0,0,7,1,-161.817408,-18013428.6562,Rural
0,0,0,AK,0,0,0,99680,0,0,0,139,12,-162.676324,-18109032.694,Rural
0,0,0,AK,0,0,0,99621,0,0,0,271,20,-161.423994,-17969638.732,Rural
0,0,0,AK,0,0,0,99559,0,0,0,19,0,-161.771339,-18008298.8823,Rural
1,0,0,AK,1,0,0,99679,0,0,0,125,6,-160.961316,-17918130.3665,Rural
0,0,0,AK,0,0,0,99575,0,0,0,23,1,-158.11188,-17600933.6851,Rural
0,0,0,AK,0,0,0,99607,0,0,0,70,0,-160.315055,-17846184.4383,Rural
4,0,2,AK,2,0,0,99633,1,1,0,53,5,-157.004582,-17477669.6347,Rural
0,0,0,AK,0,0,0,99569,0,0,0,8,1,-158.544016,-17649038.0549,Rural
0,0,0,AK,0,0,0,99678,0,0,0,213,25,-160.425249,-17858441.5404,Rural
0,1,0,AK,0,0,1,99827,2,3,1,45,0,-135.453573,-15078613.6678,Rural
1,2,1,AK,0,1,1,99603,5,9,4,101,0,-151.505751,-16865534.7346,Rural
0,0,0,AK,0,0,0,99556,0,2,2,72,4,-151.612927,-16877472.4998,Rural
1,1,0,AK,1,1,0,99672,5,6,1,103,25,-150.796508,-16786590.5718,Rural
0,1,0,AK,0,0,1,99603,9,14,5,102,62,-151.56784,-16872451.4364,Rural
2,7,0,AK,2,4,3,99664,5,8,3,55,0,-149.443249,-16635938.2849,Rural
1,4,1,AK,0,3,1,99611,6,10,4,174,62,-151.293609,-16841924.1859,Rural
0,0,0,AK,0,0,0,99564,0,0,0,13,2,-158.405621,-17633628.35,Rural
0,0,0,AK,0,0,0,99606,0,0,0,34,5,-154.749078,-17226589.2842,Rural
0,0,0,AK,0,0,0,99649,0,0,0,6,1,-157.573428,-17540993.4662,Rural
0,0,0,AK,0,0,0,99742,0,0,0,144,11,-171.715402,-19115270.1175,Rural
0,1,0,AK,0,0,1,99684,0,0,0,10,11,-160.795158,-17899629.2085,Rural
0,0,0,AK,0,0,0,99785,0,0,0,8,25,-166.487804,-18533336.3366,Rural
0,0,0,AK,0,0,0,99762,0,0,0,62,5,-168.951949,-18807639.9549,Rural
0,0,0,AK,0,0,0,99791,0,0,0,22,8,-157.418635,-17523756.067,Rural
0,0,0,AK,0,0,0,99759,0,0,0,44,5,-163.00938,-18146123.3373,Rural
0,0,0,AK,0,0,0,99736,0,0,0,41,2,-162.719686,-18113863.5142,Rural
0,0,0,AK,0,0,0,99761,0,0,0,173,18,-162.987837,-18143718.1188,Rural
0,2,0,AK,0,1,1,99921,0,0,0,56,0,-133.128001,-14819740.1376,Rural
0,0,0,AK,0,0,0,99925,4,11,7,96,5,-133.099033,-14816512.7964,Rural
0,0,0,AK,0,0,0,99919,2,3,1,41,4,-132.524451,-14752557.0855,Rural
3,4,2,AK,1,3,1,99835,0,0,0,321,0,-135.351918,-15067307.782,Rural
0,0,0,AK,0,0,0,99764,0,0,0,50,5,-141.934161,-15800029.7379,Rural
0,1,0,AK,0,1,0,99588,1,3,2,77,10,-145.526532,-16199934.6811,Rural
3,1,1,AK,2,1,0,99686,10,17,7,120,51,-146.374589,-16294336.1096,Rural
0,0,0,AK,0,0,0,99604,0,0,0,445,43,-166.096304,-18489757.0389,Rural
1,0,1,AK,0,0,0,99620,0,0,0,179,24,-163.554855,-18206838.1182,Rural
0,0,0,AK,0,0,0,99658,0,0,0,200,17,-163.180707,-18165195.2251,Rural
2,7,2,AK,0,4,3,99833,5,5,0,49,0,-132.95583,-14800573.1281,Rural
0,0,0,AK,0,0,0,99741,0,0,0,14,0,-156.878509,-17463632.3991,Rural
0,0,0,AK,0,0,0,99733,0,0,0,14,0,-144.066809,-16037432.9562,Rural
0,0,0,AK,0,0,0,99724,0,0,0,10,0,-147.39729,-16408189.9126,Rural
