@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.instance.Resample-S1-Z2.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z1.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-36,38,41-42,44-49,51-57,59,61'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute ASALM numeric
@attribute WHALF numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
MI,PK,02,'Not Virtual',Suburb,'Not Applicable','Not Applicable',1,186,'Regular school',Elementary,No,No
NY,PK,06,'Not Virtual',City,1-Yes,1-Yes,8,28,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',3,217,'Regular school',High,No,No
MI,KG,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,4,'Special education school',Other,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,104,'Regular school',Elementary,No,No
NC,PK,04,'Not Virtual',Rural,1-Yes,1-Yes,0,6,'Regular school',Elementary,No,No
OH,09,12,'Not Virtual',Town,1-Yes,1-Yes,2,60,'Regular school',High,No,'Not Applicable'
TX,03,05,'Not Virtual',Town,1-Yes,1-Yes,0,6,'Regular school',Elementary,No,No
OR,06,08,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',2,112,'Regular school',Middle,No,Missing
WA,PK,06,'Supplemental Virtual',City,1-Yes,1-Yes,1,107,'Regular school',Elementary,No,No
NJ,PK,05,'Not Virtual',City,1-Yes,1-Yes,22,12,'Regular school',Elementary,No,Missing
OR,KG,08,'Not Virtual',Rural,1-Yes,1-Yes,0,47,'Regular school',Elementary,No,Missing
NC,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',14,187,'Regular school',Elementary,No,No
AL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,58,'Regular school',Elementary,No,No
UT,06,07,'Not Virtual',Suburb,'Not Applicable','Not Applicable',0,431,'Regular school',Middle,No,No
TX,PK,05,'Not Virtual',Town,1-Yes,1-Yes,0,1,'Regular school',Elementary,No,No
TX,04,12,'Not Virtual',City,1-Yes,1-Yes,21,123,'Regular school',Other,Yes,No
NY,KG,05,'Not Virtual',Suburb,1-Yes,2-No,2,242,'Regular school',Elementary,No,No
NY,PK,08,'Not Virtual',City,'Not Applicable','Not Applicable',85,161,'Regular school',Elementary,No,No
OH,01,04,'Not Virtual',Suburb,1-Yes,2-No,0,306,'Regular school',Elementary,No,'Not Applicable'
OH,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,172,'Regular school',Elementary,No,'Not Applicable'
TX,01,03,'Not Virtual',Town,1-Yes,1-Yes,2,154,'Regular school',Elementary,No,No
FL,KG,06,'Not Virtual',City,'Not Applicable','Not Applicable',4,40,'Regular school',Elementary,Yes,No
NY,KG,05,'Not Virtual',Town,1-Yes,1-Yes,0,51,'Regular school',Elementary,No,No
MN,PK,KG,'Not Virtual',City,1-Yes,1-Yes,0,0,'Special education school',Elementary,No,No
NC,KG,05,'Not Virtual',City,1-Yes,1-Yes,26,112,'Regular school',Elementary,No,No
NY,02,05,'Not Virtual',Suburb,1-Yes,1-Yes,13,109,'Regular school',Elementary,No,No
OR,06,08,'Not Virtual',City,1-Yes,1-Yes,8,39,'Regular school',Middle,No,Missing
OH,09,12,'Not Virtual',Rural,1-Yes,2-No,1,214,'Regular school',High,No,'Not Applicable'
ID,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,3,217,'Regular school',Elementary,No,No
MI,07,08,'Not Virtual',Suburb,1-Yes,1-Yes,0,7,'Regular school',Middle,No,No
NE,PK,06,'Not Virtual',City,'Not Applicable','Not Applicable',22,87,'Regular school',Elementary,Missing,Missing
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,4,'Regular school',Elementary,No,No
TX,02,03,'Not Virtual',Town,1-Yes,1-Yes,0,73,'Regular school',Elementary,No,No
SC,06,08,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',13,484,'Regular school',Middle,No,No
NY,KG,08,'Not Virtual',City,1-Yes,1-Yes,1,0,'Regular school',Elementary,Yes,No
UT,09,12,'Not Virtual',City,'Not Applicable','Not Applicable',37,358,'Regular school',High,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,22,66,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',96,310,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,1,106,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,37,234,'Regular school',Elementary,No,No
NV,PK,06,'Not Virtual',Suburb,1-Yes,1-Yes,12,126,'Regular school',Elementary,No,No
NY,PK,06,'Not Virtual',Rural,1-Yes,2-No,1,219,'Regular school',Elementary,No,No
MS,04,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,1,'Regular school',Other,No,Yes
AZ,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,2,87,'Regular school',Elementary,No,'Not Applicable'
NE,07,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,132,'Regular school',High,Missing,Missing
TX,PK,06,'Not Virtual',City,1-Yes,1-Yes,7,17,'Regular school',Elementary,No,No
SC,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,261,'Regular school',Elementary,No,No
NY,06,08,'Not Virtual',City,1-Yes,1-Yes,12,6,'Regular school',Middle,No,No
OH,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,34,372,'Regular school',High,No,'Not Applicable'
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,65,77,'Regular school',Elementary,No,No
OR,KG,12,'Supplemental Virtual',Rural,1-Yes,2-No,2,24,'Regular school',Other,No,Missing
NY,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,3,265,'Regular school',Elementary,No,No
ID,PK,06,'Not Virtual',City,1-Yes,1-Yes,0,123,'Regular school',Elementary,No,No
SD,06,08,'Not Virtual',Town,1-Yes,2-No,1,112,'Regular school',Middle,No,Missing
OH,04,07,'Not Virtual',Suburb,1-Yes,2-No,3,202,'Regular school',Middle,No,'Not Applicable'
MT,PK,06,'Not Virtual',Suburb,1-Yes,1-Yes,0,112,'Regular school',Elementary,Missing,Missing
NY,07,12,'Not Virtual',Rural,1-Yes,1-Yes,1,150,'Regular school',High,No,No
GA,06,11,'Not Virtual',City,1-Yes,1-Yes,2,73,'Regular school',Secondary,No,No
OH,06,08,'Not Virtual',Town,1-Yes,1-Yes,1,200,'Regular school',Middle,No,'Not Applicable'
TX,07,08,'Not Virtual',City,1-Yes,1-Yes,45,24,'Regular school',Middle,No,No
ID,PK,06,'Not Virtual',City,'Not Applicable','Not Applicable',3,140,'Regular school',Elementary,No,No
GA,06,08,'Not Virtual',Rural,1-Yes,1-Yes,5,99,'Regular school',Middle,No,No
CA,07,12,'Not Virtual',Suburb,1-Yes,1-Yes,0,9,'Regular school',High,Yes,No
AZ,KG,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,25,'Regular school',Elementary,No,'Not Applicable'
MI,KG,08,'Not Virtual',City,1-Yes,1-Yes,2,36,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,24,154,'Regular school',Elementary,No,No
TX,PK,12,'Not Virtual',Rural,1-Yes,1-Yes,0,69,'Regular school',Other,No,No
PA,07,09,'Not Virtual',City,1-Yes,1-Yes,8,733,'Regular school',Middle,No,No
NY,05,08,'Not Virtual',Town,1-Yes,2-No,3,203,'Regular school',Middle,No,No
MI,04,11,'Not Virtual',Town,1-Yes,1-Yes,0,108,'Regular school',Other,No,No
GU,06,08,'Not Virtual',Town,1-Yes,1-Yes,202,2,'Regular school',Middle,No,Missing
PA,PK,05,'Not Virtual',Town,1-Yes,1-Yes,6,185,'Regular school',Elementary,No,No
MI,02,05,'Not Virtual',Rural,1-Yes,1-Yes,0,221,'Regular school',Elementary,No,No
NY,09,12,'Not Virtual',City,1-Yes,1-Yes,19,12,'Vocational school',High,No,No
TX,09,12,'Not Virtual',Rural,1-Yes,1-Yes,1,65,'Regular school',High,No,No
PA,KG,03,'Not Virtual',Rural,1-Yes,1-Yes,0,189,'Regular school',Elementary,No,No
UT,08,10,'Not Virtual',Town,'Not Applicable','Not Applicable',0,335,'Regular school',Secondary,No,No
NY,07,08,'Not Virtual',Suburb,1-Yes,1-Yes,11,5,'Regular school',Middle,No,No
TX,KG,05,'Not Virtual',City,1-Yes,1-Yes,0,62,'Regular school',Elementary,No,No
TX,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,1,37,'Regular school',Elementary,No,No
SC,09,12,'Supplemental Virtual',Town,Missing,Missing,0,0,'Vocational school',High,No,No
MT,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,0,25,'Regular school',Elementary,Missing,Missing
WI,09,12,'Supplemental Virtual',Rural,'Not Applicable','Not Applicable',9,722,'Regular school',High,No,No
OH,04,08,'Not Virtual',Town,1-Yes,2-No,0,231,'Regular school',Middle,No,'Not Applicable'
MI,06,08,'Not Virtual',Rural,1-Yes,2-No,0,62,'Regular school',Middle,No,No
CA,07,08,'Supplemental Virtual',City,1-Yes,1-Yes,5,40,'Regular school',Middle,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,0,'Regular school',Elementary,No,No
OH,06,08,'Not Virtual',Suburb,1-Yes,2-No,11,290,'Regular school',Middle,No,'Not Applicable'
OR,KG,05,'Supplemental Virtual',City,'Not Applicable','Not Applicable',3,64,'Regular school',Elementary,No,Missing
PA,09,12,'Not Virtual',Rural,Missing,Missing,0,0,'Vocational school',High,No,No
GA,06,08,'Not Virtual',City,1-Yes,1-Yes,6,90,'Regular school',Middle,No,No
RI,KG,05,'Not Virtual',City,1-Yes,1-Yes,0,4,'Regular school',Elementary,No,Missing
NY,PK,04,'Not Virtual',City,1-Yes,1-Yes,46,23,'Regular school',Elementary,No,Yes
OR,06,08,'Supplemental Virtual',Rural,'Not Applicable','Not Applicable',2,161,'Regular school',Middle,No,Missing
MI,KG,05,'Not Virtual',Rural,1-Yes,2-No,2,189,'Regular school',Elementary,No,No
OH,KG,12,'Not Virtual',Suburb,1-Yes,1-Yes,16,526,'Regular school',Other,Yes,'Not Applicable'
SD,KG,04,'Not Virtual',Town,'Not Applicable','Not Applicable',1,175,'Regular school',Elementary,No,Missing
NY,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,1,193,'Regular school',Elementary,No,No
SC,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',56,312,'Regular school',Elementary,No,No
AL,PK,12,'Not Virtual',Rural,1-Yes,1-Yes,0,188,'Regular school',Other,No,No
TX,PK,06,'Not Virtual',City,1-Yes,1-Yes,5,7,'Regular school',Elementary,No,No
MI,PK,08,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,Yes,No
VA,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,2,56,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,3,'Regular school',Elementary,No,No
NC,PK,05,'Not Virtual',City,1-Yes,1-Yes,7,142,'Regular school',Elementary,No,No
PA,KG,02,'Not Virtual',Suburb,'Not Applicable','Not Applicable',8,180,'Regular school',Elementary,No,No
TX,PK,04,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,Yes,No
VA,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',6,78,'Regular school',Elementary,No,No
NC,KG,05,'Not Virtual',Town,1-Yes,1-Yes,1,134,'Regular school',Elementary,No,No
TX,PK,KG,'Not Virtual',Suburb,1-Yes,1-Yes,3,9,'Regular school',Elementary,No,No
TX,KG,05,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,Yes,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,4,143,'Regular school',Elementary,No,No
TX,06,09,'Not Virtual',Town,1-Yes,1-Yes,0,97,'Regular school',Middle,No,No
NY,PK,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,29,'Regular school',Other,No,No
UT,PK,PK,'Not Virtual',Town,'Not Applicable','Not Applicable',0,35,'Special education school',Prekindergarten,No,No
OR,KG,06,'Not Virtual',City,1-Yes,1-Yes,1,106,'Regular school',Elementary,No,Missing
SD,09,12,'Supplemental Virtual',Rural,1-Yes,2-No,0,42,'Regular school',High,No,Missing
TX,09,12,'Not Virtual',Rural,1-Yes,1-Yes,0,24,'Regular school',High,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,12,30,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',11,283,'Regular school',Elementary,No,No
