@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.instance.Resample-S1-Z2.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3,5,9-13,15,47-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-36,38,41-42,44-49,51-57,59,61'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute ASALM numeric
@attribute WHALF numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
TX,PK,12,'Not Virtual',City,'Not Applicable','Not Applicable',0,7,'Alternative/other school',Other,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,11,169,'Regular school',Elementary,No,No
LA,PK,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',21,332,'Regular school',Elementary,No,No
TX,PK,02,'Not Virtual',City,1-Yes,1-Yes,1,33,'Regular school',Elementary,No,No
OH,09,12,'Not Virtual',Suburb,1-Yes,2-No,50,530,'Regular school',High,No,'Not Applicable'
NV,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,212,308,'Regular school',High,No,Yes
NC,03,05,'Not Virtual',Rural,1-Yes,1-Yes,1,89,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',6,94,'Regular school',Elementary,No,No
PA,KG,06,'Not Virtual',Suburb,1-Yes,1-Yes,55,91,'Regular school',Elementary,No,No
TX,07,08,'Not Virtual',Rural,1-Yes,1-Yes,4,117,'Regular school',Middle,No,No
AL,06,08,'Not Virtual',City,'Not Applicable','Not Applicable',7,240,'Regular school',Middle,No,No
MI,06,08,'Not Virtual',Rural,1-Yes,2-No,0,112,'Regular school',Middle,No,No
TX,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',54,137,'Regular school',Elementary,No,No
PA,PK,05,'Not Virtual',City,1-Yes,1-Yes,2,59,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,247,'Regular school',Elementary,No,No
CA,KG,05,'Not Virtual',City,1-Yes,1-Yes,0,6,'Regular school',Elementary,No,No
FL,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',2,166,'Regular school',Elementary,No,Yes
OR,KG,05,'Not Virtual',Town,1-Yes,1-Yes,1,125,'Regular school',Elementary,No,Missing
MI,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,4,'Regular school',Elementary,Yes,No
CO,PK,02,'Not Virtual',Town,'Not Applicable','Not Applicable',2,114,'Regular school',Elementary,No,No
TX,PK,03,'Not Virtual',Rural,1-Yes,1-Yes,1,170,'Regular school',Elementary,No,No
CA,06,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',70,297,'Regular school',Middle,No,No
GA,PK,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',5,290,'Regular school',Other,Yes,No
NC,KG,12,'Not Virtual',Rural,1-Yes,2-No,0,299,'Regular school',Other,Yes,No
CA,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',129,320,'Regular school',High,No,No
NC,PK,08,'Not Virtual',City,'Not Applicable','Not Applicable',22,194,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Town,1-Yes,1-Yes,1,139,'Regular school',Elementary,No,No
NC,KG,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',2,236,'Regular school',Elementary,No,No
WI,PK,04,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',6,198,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,2,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,9,159,'Regular school',Elementary,No,No
OR,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',4,127,'Regular school',Elementary,No,Missing
TX,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',3,127,'Regular school',Elementary,No,No
MI,KG,08,'Not Virtual',Suburb,1-Yes,1-Yes,32,145,'Regular school',Elementary,Yes,No
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,1,'Regular school',Elementary,Yes,No
PA,KG,08,'Not Virtual',City,1-Yes,1-Yes,0,4,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',City,'Not Applicable','Not Applicable',6,96,'Regular school',Elementary,No,No
MI,PK,12,'Not Virtual',City,'Not Applicable','Not Applicable',1,29,'Special education school',Other,No,No
MI,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,41,136,'Regular school',Elementary,No,No
FL,KG,12,'Not Virtual',City,'Not Applicable','Not Applicable',0,4,'Alternative/other school',Other,No,No
AL,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,0,32,'Regular school',Elementary,No,No
MI,06,12,'Not Virtual',City,'Not Applicable','Not Applicable',1,40,'Alternative/other school',High,No,No
UT,KG,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',3,357,'Regular school',Elementary,No,No
NC,09,12,'Not Virtual',Town,1-Yes,1-Yes,9,228,'Regular school',High,No,No
NC,06,08,'Not Virtual',Rural,1-Yes,1-Yes,2,173,'Regular school',Middle,No,No
