@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R4,6,11,17,19,30,43,44,45,46,47,48,49,52,61,37'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute LZIP numeric
@attribute FRELCH numeric
@attribute G03 numeric
@attribute G05 numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute HIALM numeric
@attribute HIALF numeric
@attribute BLALM numeric
@attribute BLALF numeric
@attribute WHALM numeric
@attribute HPALF numeric
@attribute AS numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
AK,99654,178,87,58,4,1,2,6,6,2,2,199,2,3,Rural
AK,99668,21,2,3,0,0,0,0,0,0,0,0,0,0,Rural
AK,99664,30,0,0,1,0,3,4,2,0,1,38,0,3,Rural
AK,99762,62,5,1,0,0,0,0,0,0,0,0,0,0,Rural
AK,99820,33,5,9,0,0,0,0,0,0,0,2,0,0,Rural
AK,99781,49,6,4,0,0,0,0,0,0,0,0,0,0,Rural
AK,99745,24,2,0,0,0,0,0,0,0,0,2,0,0,Rural
AL,36027,414,0,0,419,5,4,30,25,210,209,143,0,9,Rural
AL,36474,123,0,0,34,0,0,3,1,13,21,115,0,0,Rural
AL,35543,145,30,16,7,0,0,5,4,1,6,117,0,0,Rural
AL,36278,155,2,64,46,0,0,17,15,19,27,82,0,0,Rural
AL,35976,358,0,0,15,1,0,21,13,10,5,273,0,1,Rural
AL,35079,160,0,186,13,0,0,6,4,7,6,244,0,0,Rural
AL,35031,358,82,102,1,1,0,73,58,0,1,253,0,1,Rural
AL,35054,170,79,0,37,0,4,4,8,20,17,207,0,4,Rural
AL,35055,69,34,16,0,1,0,7,4,0,0,74,0,1,Rural
AL,35619,132,24,21,10,0,0,4,7,4,6,85,0,0,Rural
AL,36312,350,0,0,182,2,1,4,14,87,95,261,0,3,Rural
AL,35677,188,21,23,9,0,1,4,2,5,4,178,0,1,Rural
AL,36575,364,130,141,182,0,5,19,23,97,85,288,0,5,Rural
AL,36022,303,126,0,37,1,1,2,6,18,19,362,0,2,Rural
AL,35160,361,48,76,360,2,1,0,1,170,190,46,0,3,Rural
AL,35475,221,120,98,16,0,1,9,12,7,9,305,4,1,Rural
AZ,86514,50,0,0,0,0,0,0,0,0,0,0,0,0,Rural
AZ,86442,294,101,0,10,2,3,81,77,5,5,150,1,5,Rural
AZ,85361,226,35,52,6,0,1,78,74,3,3,118,0,1,Rural
AZ,86327,110,0,0,3,0,1,32,35,3,0,88,0,1,Rural
AZ,85756,482,0,156,31,4,4,301,327,16,15,35,0,8,Rural
CA,95249,14,0,0,2,0,0,9,0,2,0,6,0,0,Rural
CA,92283,27,0,0,0,0,0,4,6,0,0,2,0,0,Rural
CA,96056,8,0,0,0,0,0,4,0,0,0,3,0,0,Rural
CA,95697,83,0,0,4,5,0,62,31,2,2,12,0,5,Rural
CA,93615,53,0,0,0,1,2,38,21,0,0,2,0,3,Rural
CO,81429,16,7,7,2,0,0,3,3,0,2,20,0,0,Rural
FL,32465,305,59,66,43,0,0,5,5,21,22,231,0,0,Rural
FL,32347,420,199,231,168,3,2,14,6,80,88,240,0,5,Rural
FL,32174,226,122,126,73,10,11,27,12,40,33,266,1,21,Rural
FL,32033,410,113,96,111,0,0,29,21,58,53,284,0,0,Rural
FL,33850,58,6,10,31,1,0,40,25,18,13,28,0,1,Rural
FL,34472,999,0,0,252,3,3,170,125,134,118,418,2,6,Rural
FL,33897,250,186,160,121,11,2,257,272,56,65,152,0,13,Rural
FL,34997,795,0,0,124,22,19,333,315,62,62,515,0,41,Rural
FL,32351,336,36,43,347,0,1,84,80,155,192,4,1,1,Rural
FL,33597,407,90,104,61,2,0,75,63,31,30,213,0,2,Rural
GA,30546,239,68,90,3,3,2,12,14,1,2,204,0,5,Rural
GA,30471,565,0,0,188,3,1,7,14,87,101,200,0,4,Rural
GA,39837,204,0,0,87,0,2,4,6,43,44,63,0,2,Rural
GA,30457,611,113,86,235,0,0,9,13,114,121,161,0,0,Rural
GA,31719,558,0,0,443,0,0,38,26,219,224,27,0,0,Rural
GA,30011,202,125,123,227,14,8,53,52,127,100,176,0,22,Rural
GA,30113,299,0,0,4,0,0,7,5,2,2,189,0,0,Rural
GA,30103,341,0,0,66,4,2,38,33,31,35,413,0,6,Rural
GA,30290,261,86,98,243,11,6,87,78,126,117,53,0,17,Rural
GA,30014,202,107,107,17,3,1,24,31,12,5,292,0,4,Rural
GA,31525,300,114,109,159,6,7,43,37,76,83,226,0,13,Rural
GA,31811,255,87,0,154,0,0,14,13,81,73,174,0,0,Rural
GA,31519,283,42,43,104,0,0,26,18,48,56,101,0,0,Rural
