@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R4,6,11,17,19,30,43,44,45,46,47,48,49,52,61,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute LZIP numeric
@attribute FRELCH numeric
@attribute G03 numeric
@attribute G05 numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute HIALM numeric
@attribute HIALF numeric
@attribute BLALM numeric
@attribute BLALF numeric
@attribute WHALM numeric
@attribute HPALF numeric
@attribute AS numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
AK,99654,178,87,58,4,1,2,6,6,2,2,199,2,3,Rural
AK,99762,62,5,1,0,0,0,0,0,0,0,0,0,0,Rural
AK,99745,24,2,0,0,0,0,0,0,0,0,2,0,0,Rural
AL,35543,145,30,16,7,0,0,5,4,1,6,117,0,0,Rural
AL,35079,160,0,186,13,0,0,6,4,7,6,244,0,0,Rural
AL,35055,69,34,16,0,1,0,7,4,0,0,74,0,1,Rural
AL,35677,188,21,23,9,0,1,4,2,5,4,178,0,1,Rural
AL,35160,361,48,76,360,2,1,0,1,170,190,46,0,3,Rural
AZ,86442,294,101,0,10,2,3,81,77,5,5,150,1,5,Rural
AZ,85756,482,0,156,31,4,4,301,327,16,15,35,0,8,Rural
CA,96056,8,0,0,0,0,0,4,0,0,0,3,0,0,Rural
CO,81429,16,7,7,2,0,0,3,3,0,2,20,0,0,Rural
FL,32174,226,122,126,73,10,11,27,12,40,33,266,1,21,Rural
FL,34472,999,0,0,252,3,3,170,125,134,118,418,2,6,Rural
FL,32351,336,36,43,347,0,1,84,80,155,192,4,1,1,Rural
GA,30471,565,0,0,188,3,1,7,14,87,101,200,0,4,Rural
GA,31719,558,0,0,443,0,0,38,26,219,224,27,0,0,Rural
GA,30103,341,0,0,66,4,2,38,33,31,35,413,0,6,Rural
GA,31525,300,114,109,159,6,7,43,37,76,83,226,0,13,Rural
GA,30507,816,0,0,70,10,17,505,506,46,24,147,1,27,Rural
GA,30747,296,0,0,55,0,0,26,19,26,29,118,0,0,Rural
ID,83217,11,0,0,0,0,0,1,1,0,0,31,0,0,Rural
ID,83833,28,0,0,1,1,0,4,0,1,0,39,0,1,Rural
KS,66861,78,35,40,7,0,0,9,4,3,4,121,1,0,Rural
LA,71292,439,0,0,42,2,2,11,5,23,19,553,0,4,Rural
MI,49271,111,23,32,1,0,0,2,0,0,1,79,0,0,Rural
MI,49765,15,0,0,0,0,0,0,0,0,0,10,0,0,Rural
MI,48158,33,0,0,2,0,1,3,0,1,1,89,0,1,Rural
MI,48367,57,70,99,0,1,1,2,4,0,0,255,0,2,Rural
MI,49341,126,0,0,6,3,9,22,19,3,3,383,1,12,Rural
MI,48835,25,0,0,2,2,2,4,2,2,0,88,0,4,Rural
MI,49451,171,53,0,3,0,0,11,20,1,2,173,0,0,Rural
MI,49686,102,0,0,5,1,0,2,5,3,2,79,0,1,Rural
MO,63623,61,11,15,0,0,0,0,0,0,0,56,0,0,Rural
MS,39520,594,94,99,103,0,2,6,4,49,54,230,0,2,Rural
MT,59479,27,12,11,0,0,0,0,0,0,0,38,0,0,Rural
MT,59873,111,20,29,0,0,0,3,4,0,0,93,0,0,Rural
MT,59741,57,44,0,0,0,0,8,6,0,0,134,0,0,Rural
NC,27455,197,0,0,236,13,13,52,51,131,105,486,0,26,Rural
NC,27937,112,37,47,65,0,0,6,4,29,36,76,0,0,Rural
NC,27522,172,53,59,56,2,1,38,29,24,32,119,0,3,Rural
NC,28110,156,87,129,11,2,3,49,39,4,7,319,0,5,Rural
NC,27530,219,0,0,76,4,3,31,28,48,28,187,0,7,Rural
NC,28645,93,18,21,5,0,0,7,4,2,3,83,0,0,Rural
NC,28531,64,18,17,0,0,0,3,2,0,0,57,0,0,Rural
NC,27823,134,25,20,128,0,0,3,0,68,60,0,2,0,Rural
NC,27973,133,95,92,36,1,2,10,12,20,16,219,0,3,Rural
ND,58572,4,0,2,0,0,0,0,0,0,0,10,0,0,Rural
NE,69156,35,0,0,4,0,1,2,2,1,3,40,0,1,Rural
NE,68378,54,35,27,2,0,0,1,3,0,2,100,0,0,Rural
NE,68938,74,34,32,1,0,0,5,4,1,0,84,0,0,Rural
NE,68059,42,42,40,2,1,1,12,3,0,2,148,0,2,Rural
NM,87013,53,7,4,0,0,0,0,0,0,0,1,0,0,Rural
NY,12974,215,43,47,2,0,0,0,0,0,2,191,0,0,Rural
NY,13033,140,69,0,1,0,0,4,2,0,1,179,0,0,Rural
NY,14840,116,24,39,3,0,0,4,3,3,0,115,0,0,Rural
NY,13655,273,59,55,0,0,0,1,2,0,0,10,0,0,Rural
NY,12919,149,0,0,2,1,3,6,3,1,1,208,0,4,Rural
NY,14433,96,0,0,13,0,0,6,6,8,5,91,2,0,Rural
NY,13478,187,0,0,1,3,1,1,3,1,0,299,2,4,Rural
OH,43554,177,0,0,0,0,1,7,11,0,0,117,0,1,Rural
OH,45121,206,0,0,8,0,5,1,5,5,3,263,0,5,Rural
OH,43102,124,0,0,1,0,0,1,2,1,0,167,0,0,Rural
OH,45858,195,49,53,4,2,0,27,26,2,2,150,0,2,Rural
OH,45502,72,0,0,0,1,2,0,5,0,0,167,0,3,Rural
OH,44403,107,0,0,4,0,0,4,2,3,1,134,0,0,Rural
OR,97707,152,42,43,3,0,1,5,7,1,2,195,0,1,Rural
OR,97813,83,43,0,0,0,0,5,13,0,0,56,0,0,Rural
PA,16678,117,0,0,3,0,0,1,1,1,2,132,0,0,Rural
PA,17846,121,51,49,0,0,0,1,3,0,0,154,0,0,Rural
PA,16657,20,0,0,6,0,0,5,0,6,0,12,0,0,Rural
PA,18951,157,83,136,13,9,6,16,23,6,7,236,1,15,Rural
PA,15312,73,46,41,0,0,0,0,0,0,0,138,0,0,Rural
PA,18627,203,0,0,6,3,5,6,4,4,2,400,0,8,Rural
RI,2830,129,0,0,7,3,0,15,10,3,4,249,0,3,Rural
SC,29054,300,0,0,57,1,1,51,45,28,29,307,0,2,Rural
SC,29369,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
SD,57730,74,0,0,7,0,0,8,8,5,2,112,0,0,Rural
SD,57454,28,14,12,0,0,0,0,1,0,0,38,0,0,Rural
SD,57071,20,0,0,3,0,0,3,4,1,2,61,0,0,Rural
