@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R4,6,11,17,19,30,43,44,45,46,47,48,49,52,61,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute LZIP numeric
@attribute FRELCH numeric
@attribute G03 numeric
@attribute G05 numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute HIALM numeric
@attribute HIALF numeric
@attribute BLALM numeric
@attribute BLALF numeric
@attribute WHALM numeric
@attribute HPALF numeric
@attribute AS numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
AK,99668,21,2,3,0,0,0,0,0,0,0,0,0,0,Rural
AK,99820,33,5,9,0,0,0,0,0,0,0,2,0,0,Rural
AL,36027,414,0,0,419,5,4,30,25,210,209,143,0,9,Rural
AL,36278,155,2,64,46,0,0,17,15,19,27,82,0,0,Rural
AL,35031,358,82,102,1,1,0,73,58,0,1,253,0,1,Rural
AL,35619,132,24,21,10,0,0,4,7,4,6,85,0,0,Rural
AL,36575,364,130,141,182,0,5,19,23,97,85,288,0,5,Rural
AL,35475,221,120,98,16,0,1,9,12,7,9,305,4,1,Rural
AZ,85361,226,35,52,6,0,1,78,74,3,3,118,0,1,Rural
CA,95249,14,0,0,2,0,0,9,0,2,0,6,0,0,Rural
CA,95697,83,0,0,4,5,0,62,31,2,2,12,0,5,Rural
FL,32465,305,59,66,43,0,0,5,5,21,22,231,0,0,Rural
FL,32033,410,113,96,111,0,0,29,21,58,53,284,0,0,Rural
FL,33897,250,186,160,121,11,2,257,272,56,65,152,0,13,Rural
FL,33597,407,90,104,61,2,0,75,63,31,30,213,0,2,Rural
GA,39837,204,0,0,87,0,2,4,6,43,44,63,0,2,Rural
GA,30011,202,125,123,227,14,8,53,52,127,100,176,0,22,Rural
GA,30290,261,86,98,243,11,6,87,78,126,117,53,0,17,Rural
GA,31811,255,87,0,154,0,0,14,13,81,73,174,0,0,Rural
GA,31210,1000,0,0,689,15,15,32,32,342,347,118,2,30,Rural
HI,96750,127,20,13,0,2,2,6,17,0,0,0,90,4,Rural
ID,83846,34,8,10,0,0,0,2,1,0,0,46,0,0,Rural
ID,83623,87,29,38,0,0,0,33,37,0,0,79,0,0,Rural
KS,67428,44,0,0,1,0,0,7,8,0,1,68,1,0,Rural
MI,48383,8,0,0,0,0,0,1,0,0,0,6,0,0,Rural
MI,49304,131,0,0,22,0,0,7,5,9,13,42,0,0,Rural
MI,48744,89,0,0,1,1,0,3,1,1,0,68,0,1,Rural
MI,49336,163,0,0,2,1,0,7,2,2,0,135,0,1,Rural
MI,48451,164,0,0,10,1,2,5,14,7,3,329,0,3,Rural
MI,49905,81,20,11,0,0,1,2,1,0,0,83,0,1,Rural
MI,49285,94,0,0,2,1,2,2,6,2,0,141,0,3,Rural
MI,48857,116,39,27,0,0,0,2,4,0,0,120,0,0,Rural
MN,56373,67,82,68,2,0,0,7,5,2,0,192,0,0,Rural
MO,63138,8,0,0,4,0,0,0,0,4,0,7,0,0,Rural
MT,59433,11,0,0,0,0,0,0,1,0,0,6,0,0,Rural
MT,59086,24,16,18,1,0,0,2,0,1,0,49,0,0,Rural
MT,59436,0,7,4,0,0,0,0,0,0,0,16,0,0,Rural
MT,59525,13,0,2,0,0,0,0,0,0,0,9,0,0,Rural
NC,28694,355,0,0,3,5,2,59,32,2,1,382,0,7,Rural
NC,27871,401,69,70,253,0,0,24,33,128,125,44,0,0,Rural
NC,28753,198,0,0,3,0,0,13,13,1,2,242,0,0,Rural
NC,27559,114,25,35,43,2,0,29,26,24,19,95,0,2,Rural
NC,27298,93,45,37,4,0,0,9,6,4,0,113,0,0,Rural
NC,28504,435,66,87,105,0,0,43,44,51,54,112,0,0,Rural
NC,28515,295,86,121,59,1,0,12,13,31,28,81,0,1,Rural
NC,27809,411,0,0,458,7,8,42,33,230,228,171,1,15,Rural
NC,28422,74,0,0,16,0,0,7,6,13,3,33,0,0,Rural
NE,69358,0,1,2,0,0,0,1,1,0,0,5,0,0,Rural
NE,68939,43,0,0,0,0,0,2,1,0,0,57,0,0,Rural
NE,69346,2,0,0,0,0,0,1,0,0,0,11,0,0,Rural
NE,68456,95,35,31,8,0,0,3,4,3,5,123,0,0,Rural
NM,87020,0,0,0,0,0,0,6,0,0,0,0,0,0,Rural
NM,87560,34,0,0,0,0,0,11,19,0,0,1,0,0,Rural
NY,12737,113,41,40,0,0,0,5,17,0,0,126,1,0,Rural
NY,13862,297,0,114,6,1,1,3,2,1,5,253,0,2,Rural
NY,12010,135,127,138,4,1,1,0,4,4,0,191,0,2,Rural
NY,10560,57,74,83,7,7,7,28,52,5,2,167,0,14,Rural
NY,12553,143,0,0,84,35,33,106,89,43,41,394,0,68,Rural
