@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R48,30,43,27,56,44,61,55,47,6,46,29,34,11,45,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute BLALF numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute ASALF numeric
@attribute AS numeric
@attribute TOTMENROL numeric
@attribute BLALM numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute FTE numeric
@attribute FRELCH numeric
@attribute HIALM numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
2,4,1,468,213,2,3,255,2,99654,6,12,25.1,178,6,Rural
0,0,0,23,14,0,0,9,0,99762,0,0,3.15,62,0,Rural
0,0,0,22,8,0,0,14,0,99745,0,0,2.29,24,0,Rural
6,7,0,243,119,0,0,124,1,35543,4,9,14,145,5,Rural
6,13,0,528,266,0,0,262,7,35079,4,10,23.639999,160,6,Rural
0,0,1,168,83,0,1,85,0,35055,4,11,12,69,7,Rural
4,9,0,372,185,1,1,187,5,35677,2,6,22.549999,188,4,Rural
190,360,2,461,239,1,3,222,170,35160,1,1,25.25,361,0,Rural
5,10,2,499,251,3,5,248,5,86442,77,158,22,294,81,Rural
15,31,4,754,388,4,8,366,16,85756,327,628,33,482,301,Rural
0,0,0,11,3,0,0,8,0,96056,0,4,1,8,4,Rural
2,2,0,49,26,0,0,23,0,81429,3,6,3.53,16,3,Rural
33,73,10,707,339,11,21,368,40,32174,12,39,43.799999,226,27,Rural
118,252,3,1475,697,3,6,778,134,34472,125,295,66,999,170,Rural
192,347,0,527,279,1,1,248,155,32351,80,164,27,336,84,Rural
101,188,3,651,346,1,4,305,87,30471,14,21,41.799999,565,7,Rural
224,443,0,566,278,0,0,288,219,31719,26,64,42.200001,558,38,Rural
35,66,4,977,479,2,6,498,31,30103,33,71,57.900002,341,38,Rural
83,159,6,727,354,7,13,373,76,31525,37,80,48.299999,300,43,Rural
24,70,10,1439,723,17,27,716,46,30507,506,1011,85.599998,816,505,Rural
29,55,0,361,179,0,0,182,26,30747,19,45,31.799999,296,26,Rural
0,0,0,52,20,0,0,32,0,83217,1,2,6.9,11,1,Rural
0,1,1,79,33,0,1,46,1,83833,0,4,9.06,28,4,Rural
4,7,0,238,102,0,0,136,3,66861,4,13,16,78,9,Rural
19,42,2,1161,569,2,4,592,23,71292,5,16,66.059998,439,11,Rural
1,1,0,177,94,0,0,83,0,49271,0,2,12.1,111,2,Rural
0,0,0,18,8,0,0,10,0,49765,0,0,0.8,15,0,Rural
1,2,0,163,68,1,1,95,1,48158,0,3,12.53,33,3,Rural
0,0,1,477,215,1,2,262,0,48367,4,6,24.1,57,2,Rural
3,6,3,822,398,9,12,424,3,49341,19,41,42.73,126,22,Rural
0,2,2,184,88,2,4,96,2,48835,2,6,9.22,25,4,Rural
2,3,0,353,162,0,0,191,1,49451,20,31,22.33,171,11,Rural
2,5,1,172,75,0,1,97,3,49686,5,7,8.51,102,2,Rural
0,0,0,120,63,0,0,57,0,63623,0,0,11.31,61,0,Rural
54,103,0,594,288,2,2,306,49,39520,4,10,35.049999,594,6,Rural
0,0,0,77,39,0,0,38,0,59479,0,0,8.98,27,0,Rural
0,0,0,208,106,0,0,102,0,59873,4,7,15.25,111,3,Rural
0,0,0,263,117,0,0,146,0,59741,6,14,18.129999,57,8,Rural
105,236,13,1348,630,13,26,718,131,27455,51,103,67.290001,197,52,Rural
36,65,0,257,129,0,0,128,29,27937,4,10,19,112,6,Rural
32,56,2,380,192,1,3,188,24,27522,29,67,27.32,172,38,Rural
7,11,2,705,326,3,5,379,4,28110,39,88,43.5,156,49,Rural
28,76,4,498,213,3,7,285,48,27530,28,59,34.299999,219,31,Rural
3,5,0,172,77,0,0,95,2,28645,4,11,13.99,93,7,Rural
0,0,0,105,43,0,0,62,0,28531,2,5,8.61,64,3,Rural
60,128,0,138,63,0,0,75,68,27823,0,3,12,134,3,Rural
16,36,1,529,249,2,3,280,20,27973,12,22,33.5,133,10,Rural
0,0,0,19,9,0,0,10,0,58572,0,0,4.6,4,0,Rural
3,4,0,89,45,1,1,44,1,69156,2,4,12.76,35,2,Rural
2,2,0,221,120,0,0,101,0,68378,3,4,13.7,54,1,Rural
0,1,0,170,78,0,0,92,1,68938,4,9,17.1,74,5,Rural
2,2,1,291,124,1,2,167,0,68059,3,15,23.98,42,12,Rural
