@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R48,30,43,27,56,44,61,55,47,6,46,29,34,11,45,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1'

@attribute BLALF numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute ASALF numeric
@attribute AS numeric
@attribute TOTMENROL numeric
@attribute BLALM numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute FTE numeric
@attribute FRELCH numeric
@attribute HIALM numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
0,0,0,21,16,0,0,5,0,99668,0,0,2,21,0,Rural
0,0,0,73,36,0,0,37,0,99820,0,0,7.1,33,0,Rural
209,419,5,759,370,4,9,389,210,36027,25,55,53.25,414,30,Rural
27,46,0,214,96,0,0,118,19,36278,15,32,11.38,155,17,Rural
1,1,1,644,315,0,1,329,0,35031,58,131,35.119999,358,73,Rural
6,10,0,201,92,0,0,109,4,35619,7,11,12,132,4,Rural
85,182,0,796,381,5,5,415,97,36575,23,42,50,364,19,Rural
9,16,0,650,325,1,1,325,7,35475,12,21,35.75,221,9,Rural
3,6,0,372,164,1,1,208,3,85361,74,152,21.08,226,78,Rural
0,2,0,17,0,0,0,17,2,95249,0,9,1,14,9,Rural
2,4,5,124,41,0,5,83,2,95697,31,93,9,83,62,Rural
22,43,0,483,220,0,0,263,21,32465,5,10,25,305,5,Rural
53,111,0,675,289,0,0,386,58,32033,21,50,46,410,29,Rural
65,121,11,989,494,2,13,495,56,33897,272,529,63,250,257,Rural
30,61,2,655,324,0,2,331,31,33597,63,138,37,407,75,Rural
44,87,0,225,111,2,2,114,43,39837,6,10,15.3,204,4,Rural
100,227,14,773,359,8,22,414,127,30011,52,105,54.099998,202,53,Rural
117,243,11,573,275,6,17,298,126,30290,78,165,43,261,87,Rural
73,154,0,526,239,0,0,287,81,31811,13,27,40.799999,255,14,Rural
347,689,15,1009,486,15,30,523,342,31210,32,64,59,1000,32,Rural
0,0,2,216,118,2,4,98,0,96750,17,23,17,127,6,Rural
0,0,0,98,45,0,0,53,0,83846,1,3,13.2,34,2,Rural
0,0,0,215,102,0,0,113,0,83623,37,70,11.95,87,33,Rural
1,1,0,161,85,0,0,76,0,67428,8,15,13.7,44,7,Rural
0,0,0,17,10,0,0,7,0,48383,0,1,3,8,1,Rural
13,22,0,143,70,0,0,73,9,49304,5,12,8.57,131,7,Rural
0,1,1,138,64,0,1,74,1,48744,1,4,6.7,89,3,Rural
0,2,1,281,130,0,1,151,2,49336,2,9,16.700001,163,7,Rural
3,10,1,691,343,2,3,348,7,48451,14,19,34.02,164,5,Rural
0,0,0,172,84,1,1,88,0,49905,1,3,9,81,2,Rural
0,2,1,256,110,2,3,146,2,49285,6,8,16.84,94,2,Rural
0,0,0,261,137,0,0,124,0,48857,4,6,20.5,116,2,Rural
0,2,0,396,189,0,0,207,2,56373,5,12,29.799999,67,7,Rural
0,4,0,11,0,0,0,11,4,63138,0,0,2,8,0,Rural
0,0,0,20,14,0,0,6,0,59433,1,1,2.48,11,0,Rural
0,1,0,109,57,0,0,52,1,59086,0,2,10.03,24,2,Rural
0,0,0,34,18,0,0,16,0,59436,0,0,4,0,0,Rural
0,0,0,16,7,0,0,9,0,59525,0,0,1,13,0,Rural
1,3,5,875,420,2,7,455,2,28694,32,91,57.700001,355,59,Rural
125,253,0,404,203,0,0,201,128,27871,33,57,28,401,24,Rural
2,3,0,482,217,0,0,265,1,28753,13,26,39.91,198,13,Rural
19,43,2,289,137,0,2,152,24,27559,26,55,20.469999,114,29,Rural
0,4,0,260,129,0,0,131,4,27298,6,15,16.18,93,9,Rural
54,105,0,442,220,0,0,222,51,28504,44,87,29,435,43,Rural
28,59,1,298,163,0,1,135,31,28515,13,25,20,295,12,Rural
228,458,7,903,431,8,15,472,230,27809,33,75,47.75,411,42,Rural
3,16,0,89,33,0,0,56,13,28422,6,13,17.219999,74,7,Rural
0,0,0,10,4,0,0,6,0,69358,1,2,2.1,0,1,Rural
0,0,0,123,64,0,0,59,0,68939,1,3,16.75,43,2,Rural
0,0,0,31,19,0,0,12,0,69346,0,1,7.48,2,1,Rural
5,8,0,252,123,0,0,129,3,68456,4,7,21.360001,95,3,Rural
0,0,0,6,0,0,0,6,0,87020,0,6,0.5,0,6,Rural
0,0,0,34,22,0,0,12,0,87560,19,30,0.09,34,11,Rural
