@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,61,48,4,47,43,44,6,46,29,45,10,17,36,1,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute BL numeric
@attribute AS numeric
@attribute BLALF numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute BLALM numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute TOTFRL numeric
@attribute G03 numeric
@attribute LONCOD numeric
@attribute ﻿X numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
4,3,2,AK,2,1,2,99654,6,12,6,205,87,-149.357863,-16626432.9157,Rural
0,0,0,AK,0,0,0,99762,0,0,0,62,5,-168.951949,-18807639.9549,Rural
0,0,0,AK,0,0,0,99745,0,0,0,24,2,-154.257562,-17171867.1664,Rural
7,0,6,AL,1,0,0,35543,4,9,5,164,30,-87.69734,-9762421.7477,Rural
13,0,6,AL,7,0,0,35079,4,10,6,206,0,-86.756575,-9657699.6218,Rural
0,1,0,AL,0,1,0,35055,4,11,7,95,34,-86.740742,-9655933.0771,Rural
9,1,4,AL,5,0,1,35677,2,6,4,214,21,-88.064495,-9803296.8733,Rural
360,3,190,AL,170,2,1,35160,1,1,0,407,48,-86.077542,-9582105.0994,Rural
10,5,5,AZ,5,2,3,86442,77,158,81,328,101,-114.561477,-12752916.8648,Rural
31,8,15,AZ,16,4,4,85756,327,628,301,564,0,-110.878094,-12342895.0562,Rural
0,0,0,CA,0,0,0,96056,0,4,4,8,0,-121.402229,-13514433.4986,Rural
2,0,2,CO,0,0,0,81429,3,6,3,24,7,-108.962669,-12129659.5277,Rural
73,21,33,FL,40,10,11,32174,12,39,27,374,122,-81.114129,-9029577.4926,Rural
252,6,118,FL,134,3,3,34472,125,295,170,1114,0,-81.979001,-9125860.9706,Rural
347,1,192,FL,155,0,1,32351,80,164,84,361,36,-84.561533,-9413345.7298,Rural
188,4,101,GA,87,3,1,30471,14,21,7,565,0,-82.154955,-9145442.4386,Rural
443,0,224,GA,219,0,0,31719,26,64,38,558,0,-84.21461,-9374726.3459,Rural
66,6,35,GA,31,4,2,30103,33,71,38,423,0,-84.916887,-9452895.9468,Rural
159,13,83,GA,76,6,7,31525,37,80,43,356,114,-81.465066,-9068652.1014,Rural
70,27,24,GA,46,10,17,30507,506,1011,505,985,0,-83.853644,-9334537.455,Rural
55,0,29,GA,26,0,0,30747,19,45,26,320,0,-85.353293,-9501475.9248,Rural
0,0,0,ID,0,0,0,83217,1,2,1,19,0,-111.888049,-12455315.2402,Rural
1,1,0,ID,1,1,0,83833,0,4,4,32,0,-116.670258,-12987677.0604,Rural
7,0,4,KS,3,0,0,66861,4,13,9,116,35,-97.006489,-10798704.0192,Rural
42,4,19,LA,23,2,2,71292,5,16,11,523,0,-92.337045,-10278905.0493,Rural
1,0,1,MI,0,0,0,49271,0,2,2,123,23,-84.472136,-9403391.9301,Rural
0,0,0,MI,0,0,0,49765,0,0,0,15,0,-84.230629,-9376506.4793,Rural
2,1,1,MI,1,0,1,48158,0,3,3,35,0,-84.038631,-9355124.4946,Rural
0,2,0,MI,0,1,1,48367,4,6,2,68,70,-83.103816,-9251075.0145,Rural
6,12,3,MI,3,3,9,49341,19,41,22,144,0,-85.455881,-9512897.3154,Rural
2,4,0,MI,2,2,2,48835,2,6,4,40,0,-84.741521,-9433382.4228,Rural
3,0,2,MI,1,0,0,49451,20,31,11,192,53,-85.939786,-9566763.3385,Rural
5,1,2,MI,3,1,0,49686,5,7,2,113,0,-85.559014,-9524386.6501,Rural
0,0,0,MO,0,0,0,63623,0,0,0,78,11,-90.748906,-10102121.4902,Rural
103,2,54,MS,49,0,2,39520,4,10,6,594,94,-89.449146,-9957427.8943,Rural
0,0,0,MT,0,0,0,59479,0,0,0,27,12,-110.218441,-12269454.3595,Rural
0,0,0,MT,0,0,0,59873,4,7,3,148,20,-115.344451,-12840082.2546,Rural
0,0,0,MT,0,0,0,59741,6,14,8,75,44,-111.32788,-12392963.0084,Rural
236,26,105,NC,131,13,13,27455,51,103,52,223,0,-79.807032,-8884075.3627,Rural
65,0,36,NC,29,0,0,27937,4,10,6,135,37,-76.760782,-8544973.5276,Rural
56,3,32,NC,24,2,1,27522,29,67,38,202,53,-78.636799,-8753806.2833,Rural
11,5,7,NC,4,2,3,28110,39,88,49,181,87,-80.509225,-8962244.9636,Rural
76,7,28,NC,48,4,3,27530,28,59,31,234,0,-78.075181,-8691290.9858,Rural
5,0,3,NC,2,0,0,28645,4,11,7,114,18,-81.400676,-9061484.0068,Rural
0,0,0,NC,0,0,0,28531,2,5,3,71,18,-76.552041,-8521729.8766,Rural
