@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,61,48,4,47,43,44,6,46,29,45,10,17,36,1,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1'

@attribute BL numeric
@attribute AS numeric
@attribute BLALF numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute BLALM numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute TOTFRL numeric
@attribute G03 numeric
@attribute LONCOD numeric
@attribute ﻿X numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
0,0,0,AK,0,0,0,99668,0,0,0,21,2,-157.170756,-17496170.7928,Rural
0,0,0,AK,0,0,0,99820,0,0,0,33,5,-134.584631,-14981888.5536,Rural
419,9,209,AL,210,5,4,36027,25,55,30,442,0,-85.139098,-9477641.1608,Rural
46,0,27,AL,19,0,0,36278,15,32,17,166,2,-85.496103,-9517381.6211,Rural
1,1,1,AL,0,1,0,35031,58,131,73,425,82,-86.585974,-9638709.2668,Rural
10,0,6,AL,4,0,0,35619,7,11,4,145,24,-87.171932,-9703928.7365,Rural
182,5,85,AL,97,0,5,36575,23,42,19,422,130,-88.286184,-9827974.1432,Rural
16,1,9,AL,7,0,1,35475,12,21,9,272,120,-87.634403,-9755416.7187,Rural
6,1,3,AZ,3,0,1,85361,74,152,78,255,35,-112.523323,-12526038.176,Rural
2,0,0,CA,2,0,0,95249,0,9,9,14,0,-120.656464,-13431419.4886,Rural
4,5,2,CA,2,5,0,95697,31,93,62,95,0,-121.808301,-13559636.6585,Rural
43,0,22,FL,21,0,0,32465,5,10,5,337,59,-85.194159,-9483762.9174,Rural
111,0,53,FL,58,0,0,32033,21,50,29,423,113,-81.46451,-9068584.1574,Rural
121,13,65,FL,56,11,2,33897,272,529,257,260,186,-81.651871,-9089436.1787,Rural
61,2,30,FL,31,2,0,33597,63,138,75,420,90,-82.053936,-9134197.7025,Rural
87,2,44,GA,43,0,2,39837,6,10,4,204,0,-84.712842,-9430189.0536,Rural
227,22,100,GA,127,14,8,30011,52,105,53,261,125,-83.863296,-9335617.765,Rural
243,17,117,GA,126,11,6,30290,78,165,87,296,86,-84.570132,-9414303.7405,Rural
154,0,73,GA,81,0,0,31811,13,27,14,301,87,-84.87567,-9448309.7251,Rural
689,30,347,GA,342,15,15,31210,32,64,32,1000,0,-83.772437,-9325500.8997,Rural
0,4,0,HI,0,2,2,96750,17,23,6,149,20,-155.917695,-17356681.7092,Rural
0,0,0,ID,0,0,0,83846,1,3,2,34,8,-115.797922,-12890564.6653,Rural
0,0,0,ID,0,0,0,83623,37,70,33,121,29,-115.309859,-12836236.6228,Rural
1,0,1,KS,0,0,0,67428,8,15,7,59,0,-97.43261,-10846149.332,Rural
0,0,0,MI,0,0,0,48383,0,1,1,8,0,-83.536141,-9299186.1787,Rural
22,0,13,MI,9,0,0,49304,5,12,7,138,0,-85.855887,-9557434.6239,Rural
1,1,0,MI,1,1,0,48744,1,4,3,101,0,-83.353168,-9278823.3544,Rural
2,1,0,MI,2,1,0,49336,2,9,7,189,0,-85.441537,-9511307.4252,Rural
10,3,3,MI,7,1,2,48451,14,19,5,183,0,-83.750431,-9323054.9148,Rural
0,1,0,MI,0,0,1,49905,1,3,2,111,20,-88.721008,-9876377.4667,Rural
2,3,0,MI,2,1,2,49285,6,8,2,117,0,-84.186455,-9371587.3319,Rural
0,0,0,MI,0,0,0,48857,4,6,2,142,39,-84.177387,-9370574.9659,Rural
2,0,0,MN,2,0,0,56373,5,12,7,105,82,-94.290863,-10496393.8737,Rural
4,0,0,MO,4,0,0,63138,0,0,0,8,0,-90.21885,-10043112.1044,Rural
0,0,0,MT,0,0,0,59433,1,1,0,13,0,-111.713839,-12435924.0155,Rural
1,0,0,MT,1,0,0,59086,0,2,2,30,16,-110.662451,-12318890.4321,Rural
0,0,0,MT,0,0,0,59436,0,0,0,3,7,-112.227534,-12493105.707,Rural
0,0,0,MT,0,0,0,59525,0,0,0,13,0,-110.286,-12276982.5574,Rural
3,7,1,NC,2,5,2,28694,32,91,59,436,0,-81.479046,-9070201.2252,Rural
253,0,125,NC,128,0,0,27871,33,57,24,401,69,-77.247951,-8599199.6541,Rural
3,0,2,NC,1,0,0,28753,13,26,13,249,0,-82.716249,-9207923.7642,Rural
43,2,19,NC,24,2,0,27559,26,55,29,131,25,-79.077783,-8802889.0471,Rural
4,0,0,NC,4,0,0,27298,6,15,9,105,45,-79.606901,-8861789.7225,Rural
105,0,54,NC,51,0,0,28504,44,87,43,435,66,-77.75315,-8655436.9237,Rural
59,1,28,NC,31,1,0,28515,13,25,12,295,86,-76.779208,-8547018.6428,Rural
458,15,228,NC,230,7,8,27809,33,75,42,490,0,-77.900063,-8671797.845,Rural
