@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,48,61,43,47,44,6,46,29,45,27,56,4,55,10,37'

@attribute BL numeric
@attribute BLALF numeric
@attribute AS numeric
@attribute ASALM numeric
@attribute BLALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute TOTMENROL numeric
@attribute TOTFRL numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
4,2,3,1,2,2,99654,6,12,6,468,213,AK,255,205,Rural
0,0,0,0,0,0,99668,0,0,0,21,16,AK,5,21,Rural
1,1,3,0,0,3,99664,2,6,4,120,54,AK,66,38,Rural
0,0,0,0,0,0,99762,0,0,0,23,14,AK,9,62,Rural
0,0,0,0,0,0,99820,0,0,0,73,36,AK,37,33,Rural
0,0,0,0,0,0,99781,0,0,0,50,29,AK,21,49,Rural
0,0,0,0,0,0,99745,0,0,0,22,8,AK,14,24,Rural
419,209,9,5,210,4,36027,25,55,30,759,370,AL,389,442,Rural
34,21,0,0,13,0,36474,1,4,3,258,126,AL,132,142,Rural
7,6,0,0,1,0,35543,4,9,5,243,119,AL,124,164,Rural
46,27,0,0,19,0,36278,15,32,17,214,96,AL,118,166,Rural
15,5,1,1,10,0,35976,13,34,21,576,268,AL,308,409,Rural
13,6,0,0,7,0,35079,4,10,6,528,266,AL,262,206,Rural
1,1,1,1,0,0,35031,58,131,73,644,315,AL,329,425,Rural
37,17,4,0,20,4,35054,8,12,4,456,218,AL,238,191,Rural
0,0,1,1,0,0,35055,4,11,7,168,83,AL,85,95,Rural
10,6,0,0,4,0,35619,7,11,4,201,92,AL,109,145,Rural
182,95,3,2,87,1,36312,14,18,4,741,375,AL,366,404,Rural
9,4,1,0,5,1,35677,2,6,4,372,185,AL,187,214,Rural
182,85,5,0,97,5,36575,23,42,19,796,381,AL,415,422,Rural
37,19,2,1,18,1,36022,6,8,2,743,350,AL,393,359,Rural
360,190,3,2,170,1,35160,1,1,0,461,239,AL,222,407,Rural
16,9,1,0,7,1,35475,12,21,9,650,325,AL,325,272,Rural
0,0,0,0,0,0,86514,0,0,0,97,40,AZ,57,50,Rural
10,5,5,2,5,3,86442,77,158,81,499,251,AZ,248,328,Rural
6,3,1,0,3,1,85361,74,152,78,372,164,AZ,208,255,Rural
3,0,1,0,3,1,86327,35,67,32,258,120,AZ,138,146,Rural
31,15,8,4,16,4,85756,327,628,301,754,388,AZ,366,564,Rural
2,0,0,0,2,0,95249,0,9,9,17,0,CA,17,14,Rural
0,0,0,0,0,0,92283,6,10,4,30,16,CA,14,27,Rural
0,0,0,0,0,0,96056,0,4,4,11,3,CA,8,8,Rural
4,2,5,5,2,0,95697,31,93,62,124,41,CA,83,95,Rural
0,0,3,1,0,2,93615,21,59,38,64,23,CA,41,54,Rural
2,2,0,0,0,0,81429,3,6,3,49,26,CO,23,24,Rural
43,22,0,0,21,0,32465,5,10,5,483,220,FL,263,337,Rural
168,88,5,3,80,2,32347,6,20,14,711,347,FL,364,437,Rural
73,33,21,10,40,11,32174,12,39,27,707,339,FL,368,374,Rural
111,53,0,0,58,0,32033,21,50,29,675,289,FL,386,423,Rural
31,13,1,1,18,0,33850,25,65,40,154,61,FL,93,58,Rural
252,118,6,3,134,3,34472,125,295,170,1475,697,FL,778,1114,Rural
121,65,13,11,56,2,33897,272,529,257,989,494,FL,495,260,Rural
124,62,41,22,62,19,34997,315,648,333,1934,980,FL,954,857,Rural
347,192,1,0,155,1,32351,80,164,84,527,279,FL,248,361,Rural
61,30,2,2,31,0,33597,63,138,75,655,324,FL,331,420,Rural
3,2,5,3,1,2,30546,14,26,12,430,207,GA,223,276,Rural
188,101,4,3,87,1,30471,14,21,7,651,346,GA,305,565,Rural
87,44,2,0,43,2,39837,6,10,4,225,111,GA,114,204,Rural
235,121,0,0,114,0,30457,13,22,9,611,313,GA,298,611,Rural
443,224,0,0,219,0,31719,26,64,38,566,278,GA,288,558,Rural
227,100,22,14,127,8,30011,52,105,53,773,359,GA,414,261,Rural
4,2,0,0,2,0,30113,5,12,7,421,212,GA,209,299,Rural
66,35,6,4,31,2,30103,33,71,38,977,479,GA,498,423,Rural
243,117,17,11,126,6,30290,78,165,87,573,275,GA,298,296,Rural
17,5,4,3,12,1,30014,31,55,24,681,337,GA,344,267,Rural
159,83,13,6,76,7,31525,37,80,43,727,354,GA,373,356,Rural
154,73,0,0,81,0,31811,13,27,14,526,239,GA,287,301,Rural
104,56,0,0,48,0,31519,18,44,26,348,165,GA,183,283,Rural
