@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,48,61,43,47,44,6,46,29,45,27,56,4,55,10,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute BL numeric
@attribute BLALF numeric
@attribute AS numeric
@attribute ASALM numeric
@attribute BLALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute TOTMENROL numeric
@attribute TOTFRL numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
4,2,3,1,2,2,99654,6,12,6,468,213,AK,255,205,Rural
0,0,0,0,0,0,99762,0,0,0,23,14,AK,9,62,Rural
0,0,0,0,0,0,99745,0,0,0,22,8,AK,14,24,Rural
7,6,0,0,1,0,35543,4,9,5,243,119,AL,124,164,Rural
13,6,0,0,7,0,35079,4,10,6,528,266,AL,262,206,Rural
0,0,1,1,0,0,35055,4,11,7,168,83,AL,85,95,Rural
9,4,1,0,5,1,35677,2,6,4,372,185,AL,187,214,Rural
360,190,3,2,170,1,35160,1,1,0,461,239,AL,222,407,Rural
10,5,5,2,5,3,86442,77,158,81,499,251,AZ,248,328,Rural
31,15,8,4,16,4,85756,327,628,301,754,388,AZ,366,564,Rural
0,0,0,0,0,0,96056,0,4,4,11,3,CA,8,8,Rural
2,2,0,0,0,0,81429,3,6,3,49,26,CO,23,24,Rural
73,33,21,10,40,11,32174,12,39,27,707,339,FL,368,374,Rural
252,118,6,3,134,3,34472,125,295,170,1475,697,FL,778,1114,Rural
347,192,1,0,155,1,32351,80,164,84,527,279,FL,248,361,Rural
188,101,4,3,87,1,30471,14,21,7,651,346,GA,305,565,Rural
443,224,0,0,219,0,31719,26,64,38,566,278,GA,288,558,Rural
66,35,6,4,31,2,30103,33,71,38,977,479,GA,498,423,Rural
159,83,13,6,76,7,31525,37,80,43,727,354,GA,373,356,Rural
70,24,27,10,46,17,30507,506,1011,505,1439,723,GA,716,985,Rural
55,29,0,0,26,0,30747,19,45,26,361,179,GA,182,320,Rural
0,0,0,0,0,0,83217,1,2,1,52,20,ID,32,19,Rural
1,0,1,1,1,0,83833,0,4,4,79,33,ID,46,32,Rural
7,4,0,0,3,0,66861,4,13,9,238,102,KS,136,116,Rural
42,19,4,2,23,2,71292,5,16,11,1161,569,LA,592,523,Rural
1,1,0,0,0,0,49271,0,2,2,177,94,MI,83,123,Rural
0,0,0,0,0,0,49765,0,0,0,18,8,MI,10,15,Rural
2,1,1,0,1,1,48158,0,3,3,163,68,MI,95,35,Rural
0,0,2,1,0,1,48367,4,6,2,477,215,MI,262,68,Rural
6,3,12,3,3,9,49341,19,41,22,822,398,MI,424,144,Rural
2,0,4,2,2,2,48835,2,6,4,184,88,MI,96,40,Rural
3,2,0,0,1,0,49451,20,31,11,353,162,MI,191,192,Rural
5,2,1,1,3,0,49686,5,7,2,172,75,MI,97,113,Rural
0,0,0,0,0,0,63623,0,0,0,120,63,MO,57,78,Rural
103,54,2,0,49,2,39520,4,10,6,594,288,MS,306,594,Rural
0,0,0,0,0,0,59479,0,0,0,77,39,MT,38,27,Rural
0,0,0,0,0,0,59873,4,7,3,208,106,MT,102,148,Rural
0,0,0,0,0,0,59741,6,14,8,263,117,MT,146,75,Rural
236,105,26,13,131,13,27455,51,103,52,1348,630,NC,718,223,Rural
65,36,0,0,29,0,27937,4,10,6,257,129,NC,128,135,Rural
56,32,3,2,24,1,27522,29,67,38,380,192,NC,188,202,Rural
11,7,5,2,4,3,28110,39,88,49,705,326,NC,379,181,Rural
76,28,7,4,48,3,27530,28,59,31,498,213,NC,285,234,Rural
5,3,0,0,2,0,28645,4,11,7,172,77,NC,95,114,Rural
0,0,0,0,0,0,28531,2,5,3,105,43,NC,62,71,Rural
128,60,0,0,68,0,27823,0,3,3,138,63,NC,75,134,Rural
36,16,3,1,20,2,27973,12,22,10,529,249,NC,280,171,Rural
0,0,0,0,0,0,58572,0,0,0,19,9,ND,10,11,Rural
4,3,1,0,1,1,69156,2,4,2,89,45,NE,44,48,Rural
2,2,0,0,0,0,68378,3,4,1,221,120,NE,101,72,Rural
1,0,0,0,1,0,68938,4,9,5,170,78,NE,92,88,Rural
2,2,2,1,0,1,68059,3,15,12,291,124,NE,167,53,Rural
0,0,0,0,0,0,87013,0,0,0,53,25,NM,28,53,Rural
2,2,0,0,0,0,12974,0,0,0,380,189,NY,191,223,Rural
1,1,0,0,0,0,13033,2,6,4,369,177,NY,192,164,Rural
3,0,0,0,3,0,14840,3,7,4,244,119,NY,125,124,Rural
0,0,0,0,0,0,13655,2,3,1,386,199,NY,187,288,Rural
2,1,4,1,1,3,12919,3,9,6,422,203,NY,219,168,Rural
