@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1'

@attribute ﻿X numeric
@attribute Y numeric
@attribute NCESSCH numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute LEAID numeric
@attribute LZIP numeric
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute TOTFRL numeric
@attribute FRELCH numeric
@attribute REDLCH numeric
@attribute PK numeric
@attribute KG numeric
@attribute G01 numeric
@attribute G02 numeric
@attribute G03 numeric
@attribute G04 numeric
@attribute G05 numeric
@attribute G06 numeric
@attribute G07 numeric
@attribute G08 numeric
@attribute G09 numeric
@attribute G10 numeric
@attribute G11 numeric
@attribute G12 numeric
@attribute MEMBER numeric
@attribute AM numeric
@attribute HI numeric
@attribute BL numeric
@attribute WH numeric
@attribute HP numeric
@attribute TR numeric
@attribute FTE numeric
@attribute LATCOD numeric
@attribute LONCOD numeric
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute STUTERATIO numeric
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute AMALM numeric
@attribute AMALF numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute HIALM numeric
@attribute HIALF numeric
@attribute BLALM numeric
@attribute BLALF numeric
@attribute WHALM numeric
@attribute WHALF numeric
@attribute HPALM numeric
@attribute HPALF numeric
@attribute TRALM numeric
@attribute TRALF numeric
@attribute TOTMENROL numeric
@attribute TOTFENROL numeric
@attribute STATUS numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SY_STATUS_TEXT {'Currently operational ','School temporarily closed','School has reopened','New school','School to be operational within two years','School has changed agency','School was operational but not reported last year'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute AS numeric
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
-17496170.7928,8788988.9534,20076000352,AK,200760,99668,PK,12,'Not Virtual',21,21,0,4,1,4,2,2,1,3,0,1,1,0,0,0,2,21,19,0,0,2,0,0,2,61.70259,-157.170756,Rural,10.5,1-Yes,1-Yes,5,14,0,0,0,0,0,0,0,2,0,0,0,0,5,16,1,'Regular school','Currently operational ',Other,0,No,No
-14981888.5536,7862527.9987,20073000342,AK,200730,99820,PK,12,'Not Virtual',33,33,0,2,5,4,6,5,9,9,5,7,6,4,2,3,6,73,66,0,0,3,0,4,7.1,57.497734,-134.584631,Rural,10.3,1-Yes,1-Yes,33,33,0,0,0,0,0,0,2,1,0,0,2,2,37,36,1,'Regular school','Currently operational ',Other,0,No,No
-9477641.1608,3752723.6648,10141000511,AL,101410,36027,09,12,'Not Virtual',442,414,28,0,0,0,0,0,0,0,0,0,0,176,220,188,175,759,0,55,419,273,0,3,53.25,31.919296,-85.139098,Rural,14.3,1-Yes,1-Yes,0,0,5,4,30,25,210,209,143,130,0,0,1,2,389,370,1,'Regular school','Currently operational ',High,9,No,No
-9517381.6211,3936962.6457,10282001124,AL,102820,36278,04,06,'Not Virtual',166,155,11,0,0,1,0,2,74,64,73,0,0,0,0,0,0,214,0,32,46,135,0,1,11.38,33.313186,-85.496103,Rural,18.8,1-Yes,1-Yes,0,0,0,0,17,15,19,27,82,53,0,0,0,1,118,96,1,'Regular school','Currently operational ',Middle,0,No,No
-9638709.2668,4040183.1025,10042000205,AL,100420,35031,PK,06,'Not Virtual',425,358,67,4,99,100,90,82,88,102,79,0,0,0,0,0,0,644,1,131,1,509,1,0,35.119999,34.084738,-86.585974,Rural,18.3,1-Yes,1-Yes,1,0,1,0,73,58,0,1,253,256,1,0,0,0,329,315,1,'Regular school','Currently operational ',Elementary,1,No,No
-9703928.7365,4085031.1042,10204000788,AL,102040,35619,PK,06,'Not Virtual',145,132,13,18,31,28,23,24,28,21,28,0,0,0,0,0,0,201,19,11,10,154,0,7,12,34.417746,-87.171932,Rural,16.8,1-Yes,1-Yes,11,8,0,0,4,7,4,6,85,69,0,0,5,2,109,92,1,'Regular school','Currently operational ',Elementary,0,No,No
-9827974.1432,3599873.6385,10237000572,AL,102370,36575,PK,05,'Not Virtual',422,364,58,20,104,121,131,130,149,141,0,0,0,0,0,0,0,796,5,42,182,541,0,21,50,30.746436,-88.286184,Rural,15.9,'Not Applicable','Not Applicable',1,4,0,5,19,23,97,85,288,253,0,0,10,11,415,381,1,'Regular school','Currently operational ',Elementary,5,No,No
-9755416.7187,3957200.5688,10339001294,AL,103390,35475,PK,05,'Not Virtual',272,221,51,17,93,98,96,120,128,98,0,0,0,0,0,0,0,650,2,21,16,600,7,3,35.75,33.464978,-87.634403,Rural,18.2,1-Yes,1-Yes,0,2,0,1,9,12,7,9,305,295,3,4,1,2,325,325,1,'Regular school','Currently operational ',Elementary,1,No,No
-13514433.4986,5019942.8905,61347008371,CA,613470,96056,07,12,'Not Virtual',8,8,0,0,0,0,0,0,0,0,0,2,2,5,2,0,0,11,1,4,0,6,0,0,1,41.051421,-121.402229,Rural,11,1-Yes,2-No,1,0,0,0,4,0,0,0,3,3,0,0,0,0,8,3,1,'Alternative/other school','Currently operational ',High,0,No,No
-12129659.5277,4631869.7078,80585001693,CO,805850,81429,PK,12,'Not Virtual',24,16,8,6,6,6,4,7,2,7,3,1,2,2,2,0,1,49,0,6,2,41,0,0,3.53,38.370277,-108.962669,Rural,13.9,1-Yes,2-No,0,0,0,0,3,3,0,2,20,21,0,0,0,0,23,26,1,'Regular school','Currently operational ',Other,0,Yes,No
-9029577.4926,3410736.2127,120192002269,FL,1201920,32174,PK,05,'Not Virtual',374,226,148,4,102,99,123,122,131,126,0,0,0,0,0,0,0,707,1,39,73,524,1,48,43.799999,29.275238,-81.114129,Rural,16.1,1-Yes,1-Yes,0,1,10,11,27,12,40,33,266,258,0,1,25,23,368,339,1,'Regular school','Currently operational ',Elementary,21,No,No
-9089436.1787,3286277.2788,120147004401,FL,1201470,33897,KG,05,'Not Virtual',260,250,10,0,139,153,189,186,162,160,0,0,0,0,0,0,0,989,4,529,121,294,1,27,63,28.295415,-81.651871,Rural,15.7,1-Yes,1-Yes,2,2,11,2,257,272,56,65,152,142,1,0,16,11,495,494,1,'Regular school','Currently operational ',Elementary,13,Yes,No
-9134197.7025,3325580.4154,120180001937,FL,1201800,33597,PK,05,'Not Virtual',420,407,13,60,108,110,91,90,92,104,0,0,0,0,0,0,0,655,4,138,61,425,1,24,37,28.60576,-82.053936,Rural,17.7,1-Yes,1-Yes,2,2,2,0,75,63,31,30,213,212,1,0,7,17,331,324,1,'Regular school','Currently operational ',Elementary,2,No,No
-9430189.0536,3657616.0314,130366002414,GA,1303660,39837,06,08,'Not Virtual',204,204,0,0,0,0,0,0,0,0,85,71,69,0,0,0,0,225,0,10,87,121,0,5,15.3,31.191268,-84.712842,Rural,14.7,1-Yes,1-Yes,0,0,0,2,4,6,43,44,63,58,0,0,4,1,114,111,1,'Regular school','Currently operational ',Middle,2,No,No
-9335617.765,4033056.2999,130255003381,GA,1302550,30011,PK,05,'Not Virtual',261,202,59,16,122,122,125,125,140,123,0,0,0,0,0,0,0,773,1,105,227,353,0,65,54.099998,34.031635,-83.863296,Rural,14.3,'Not Applicable','Not Applicable',1,0,14,8,53,52,127,100,176,177,0,0,43,22,414,359,1,'Regular school','Currently operational ',Elementary,22,No,No
-9414303.7405,3961069.9,130213002116,GA,1302130,30290,PK,05,'Not Virtual',296,261,35,33,78,75,98,86,105,98,0,0,0,0,0,0,0,573,3,165,243,105,0,40,43,33.494034,-84.570132,Rural,13.3,1-Yes,1-Yes,2,1,11,6,87,78,126,117,53,52,0,0,19,21,298,275,1,'Regular school','Currently operational ',Elementary,17,No,No
